
2025/04/07 (17:30:06) | ===> btop++ v.1.4.0
2025/04/07 (17:30:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (17:33:15) | ===> btop++ v.1.4.0
2025/04/07 (17:33:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (17:33:51) | ===> btop++ v.1.4.0
2025/04/07 (17:33:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (19:22:25) | ===> btop++ v.1.4.0
2025/04/07 (19:22:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (19:22:40) | ===> btop++ v.1.4.0
2025/04/07 (19:22:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (19:50:10) | ===> btop++ v.1.4.0
2025/04/07 (19:50:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (21:11:27) | ===> btop++ v.1.4.0
2025/04/07 (21:11:27) | WARNING: Intel GPU: Failed to initialize PMU
